station,datetime,wind_dir,wind_speed,visibility,clouds,phenomena,intensity_prefix
SPJR,2025-05-15 14:03:08.327165,VRB,2,,,,
SPQU,2025-05-15 15:03:15.926411,270,7,,,,
SPRU,2025-05-15 15:03:16.409876,190,7,7000.0,,,
SPZO,2025-05-15 15:03:16.898914,VRB,3,9999.0,SCT040;BKN080,,
SPJR,2025-05-15 15:03:17.347533,VRB,4,,,,
SPQU,2025-05-15 16:03:24.937782,250,8,,,,
SPRU,2025-05-15 16:03:25.436307,190,7,9000.0,,FG,BC
SPZO,2025-05-15 16:03:25.868263,VRB,4,9999.0,FEW043,,
SPJR,2025-05-15 16:03:26.303724,VRB,4,9999.0,FEW025,,
SPQU,2025-05-15 17:03:34.623614,260,9,,,,
SPRU,2025-05-15 17:03:35.110785,190,8,9000.0,,BR,
SPZO,2025-05-15 17:03:35.606446,030,5,9999.0,,,
SPJR,2025-05-15 17:03:36.050829,170,7,9999.0,FEW025,,
SPQU,2025-05-15 18:03:43.636924,240,7,,,,
SPRU,2025-05-15 18:03:44.168268,190,9,9999.0,FEW015,,
SPZO,2025-05-15 18:03:44.676733,VRB,3,9999.0,,,
SPJR,2025-05-15 18:03:45.119261,120,7,9999.0,FEW025,,
SPQU,2025-05-15 19:03:54.242449,270,9,,,,
SPRU,2025-05-15 19:03:54.743266,170,7,9999.0,FEW015,,
SPZO,2025-05-15 19:03:55.223416,VRB,6,9999.0,,,
SPJR,2025-05-15 19:03:55.661755,150,5,9999.0,SCT025,,
SPQU,2025-05-15 20:04:03.336624,240,7,,,,
SPRU,2025-05-15 20:04:03.776011,170,8,9000.0,,,
SPZO,2025-05-15 20:04:04.214171,360,6,9999.0,,,
SPJR,2025-05-15 20:04:04.721502,080,6,9999.0,SCT025,,
SPQU,2025-05-15 21:04:12.411349,260,8,,,,
SPRU,2025-05-15 21:04:12.906293,170,8,,,,
SPZO,2025-05-15 21:04:13.398241,VRB,8,9999.0,,,
SPJR,2025-05-15 21:04:13.908256,070,5,9999.0,SCT025,,
SPQU,2025-05-15 22:04:21.565578,260,8,,,,
SPRU,2025-05-15 22:04:22.030659,150,9,9000.0,,,
SPZO,2025-05-15 22:04:22.675687,040,7,9999.0,,,
SPJR,2025-05-15 22:04:23.111329,170,7,9999.0,FEW025,,
SPQU,2025-05-15 23:04:30.738135,270,4,,,,
SPRU,2025-05-15 23:04:31.170767,160,9,9999.0,SCT150,,
SPZO,2025-05-15 23:04:31.608523,270,8,9999.0,,,
SPJR,2025-05-15 23:04:32.105158,090,4,9999.0,FEW025,,
SPQU,2025-05-16 00:04:39.917399,VRB,2,,,,
SPRU,2025-05-16 00:04:40.385300,150,6,9000.0,SCT150,,
SPZO,2025-05-16 00:04:40.815401,240,3,9999.0,,,
SPJR,2025-05-16 00:04:41.303480,090,4,9999.0,FEW025,,
SPQU,2025-05-16 01:04:48.923674,VRB,2,,,,
SPRU,2025-05-16 01:04:49.385812,140,7,6000.0,BKN100,,
SPZO,2025-05-16 01:04:49.815236,VRB,2,9999.0,,,
SPJR,2025-05-16 01:04:50.408493,090,4,9999.0,FEW025,,
SPQU,2025-05-16 02:04:58.153876,VRB,2,,,,
SPRU,2025-05-16 02:04:58.580851,130,8,5000.0,BKN100,BR,
SPZO,2025-05-16 02:04:59.147205,080,2,9999.0,,,
SPJR,2025-05-16 02:04:59.850729,090,4,9999.0,FEW025,,
SPQU,2025-05-16 03:05:07.484130,040,5,,,,
SPRU,2025-05-16 03:05:07.918144,130,9,5000.0,BKN150,BR,
SPZO,2025-05-16 03:05:08.354910,270,3,9999.0,,,
SPJR,2025-05-16 03:05:08.913927,090,4,9999.0,FEW025,,
SPQU,2025-05-16 04:05:16.645034,020,3,,,,
SPRU,2025-05-16 04:05:17.111731,130,8,5000.0,BKN120,BR,
SPZO,2025-05-16 04:05:17.603990,VRB,1,9999.0,,,
SPJR,2025-05-16 04:05:18.204549,090,4,9999.0,FEW025,,
SPQU,2025-05-16 14:38:42.173509,180,3,,,,
SPRU,2025-05-16 14:38:42.601355,170,8,8000.0,,,
SPZO,2025-05-16 14:38:43.112880,VRB,3,9999.0,,,
SPJR,2025-05-16 14:38:43.640146,VRB,2,9999.0,FEW020;BKN070,,
SPQU,2025-05-16 15:38:51.287033,250,4,,,,
SPRU,2025-05-16 15:38:51.917094,170,8,8000.0,,,
SPZO,2025-05-16 15:38:52.359226,010,3,9999.0,,,
SPJR,2025-05-16 15:38:52.803594,VRB,2,9999.0,FEW020;BKN070,,
SPQU,2025-05-16 16:39:00.487130,240,7,,,,
SPRU,2025-05-16 16:39:01.021987,180,9,7000.0,,,
SPZO,2025-05-16 16:39:01.515960,VRB,4,9999.0,,,
SPJR,2025-05-16 16:39:01.957799,VRB,2,9999.0,FEW020;BKN070,,
SPQU,2025-05-16 17:39:09.741048,250,8,,,,
SPRU,2025-05-16 17:39:10.193497,160,10,7000.0,SCT003,HZ,
SPZO,2025-05-16 17:39:10.639229,VRB,5,9999.0,,,
SPJR,2025-05-16 17:39:11.137248,VRB,2,9999.0,FEW023;SCT070,,
SPQU,2025-05-16 18:16:59.524603,250,8,,,,
SPRU,2025-05-16 18:17:00.056030,170,10,7000.0,SCT003,,
SPZO,2025-05-16 18:17:00.550591,VRB,6,9999.0,,,
SPJR,2025-05-16 18:17:00.993224,VRB,3,9999.0,FEW025;SCT070,,
SPQU,2025-05-16 19:17:09.274300,240,7,,,,
SPRU,2025-05-16 19:17:09.717884,170,9,4500.0,BKN004,BR,
