station,raw_metar,datetime_scraped,observed,temperature,dewpoint,wind_speed,wind_direction,visibility,altimeter,flight_rules
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:10:44.517684,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120400Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 04:10:44.943545,2025-05-12T04:00:00Z,8,4,2,,9999,1037,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:20:45.832505,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:20:46.321530,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:20:46.821680,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120400Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 04:20:47.241750,2025-05-12T04:00:00Z,8,4,2,,9999,1037,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:30:48.217183,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:30:48.820904,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:30:49.256811,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120430Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 04:30:49.979700,2025-05-12T04:30:00Z,8,4,2,,9999,1037,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:40:50.899433,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:40:51.386634,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:40:51.883706,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120430Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 04:40:52.325183,2025-05-12T04:30:00Z,8,4,2,,9999,1037,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:50:53.240913,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:50:53.701890,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
SPRU,SPRU 120400Z 13005KT 5000 BR NSC 17/16 Q1014 RMK PP000,2025-05-12 04:50:54.204474,2025-05-12T04:00:00Z,17,16,5,130.0,5000,1014,MVFR
SPZO,SPZO 120430Z VRB02KT 9999 SCT050 08/04 Q1037 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 04:50:54.653649,2025-05-12T04:30:00Z,8,4,2,,9999,1037,VFR
